Latitude,Longitude,Station,Depth,Temperature,Salinity,Nitrate,Iron,Ratio
-69.397,359.96686,PS71/178,4.3,-1.592,33.914001,,,
-69.397,359.96686,PS71/178,10.0,-1.584,33.911999,23.08,0.214634,107531.89149901693
-69.397,359.96686,PS71/178,10.4,-1.476,34.007999,,,
-69.397,359.96686,PS71/178,19.4,-1.446,34.021999,,,
-69.397,359.96686,PS71/178,19.5,-1.452,34.018002,,,
-69.397,359.96686,PS71/178,19.7,-1.462857142857143,34.01099942857143,,,
-69.397,359.96686,PS71/178,19.8,-1.4776666666666667,34.00266633333334,,,
-69.397,359.96686,PS71/178,19.9,-1.5006,33.9869998,,,
-69.397,359.96686,PS71/178,20.0,-1.4723333333333333,34.00466666666667,,,
-69.397,359.96686,PS71/178,20.1,-1.506,33.983002,,,
-69.397,359.96686,PS71/178,20.3,-1.4735,34.0050015,,,
-69.397,359.96686,PS71/178,23.8,-1.557,33.929001,23.6,0.44878,52587.013681536606
-69.397,359.96686,PS71/178,24.3,-1.617,33.919998,,,
-69.397,359.96686,PS71/178,24.5,-1.463,33.9980015,,,
-69.397,359.96686,PS71/178,24.6,-1.5153333333333334,33.972,,,
-69.397,359.96686,PS71/178,24.7,-1.467,33.995998,,,
-69.397,359.96686,PS71/178,25.2,-1.456,34.019001,,,
-69.397,359.96686,PS71/178,49.4,-1.366,34.062,,,
-69.397,359.96686,PS71/178,49.5,-1.3556666666666668,34.07200133333333,,,
-69.397,359.96686,PS71/178,49.6,-1.365,34.061500499999994,,,
-69.397,359.96686,PS71/178,49.7,-1.3625,34.052499499999996,,,
-69.397,359.96686,PS71/178,49.9,-1.365,34.062,,,
-69.397,359.96686,PS71/178,50.0,-1.361,34.070999,,,
-69.397,359.96686,PS71/178,50.1,-1.362,34.069,,,
-69.397,359.96686,PS71/178,56.2,-1.333,34.081001,26.3050005,0.253659,103702.21636133548
-69.397,359.96686,PS71/178,72.2,-1.263,34.106998,,,
-69.397,359.96686,PS71/178,74.1,-1.358,34.088001,,,
-69.397,359.96686,PS71/178,75.0,-1.334,34.084999,26.459999,0.273171,96862.40120657024
-69.397,359.96686,PS71/178,98.6,-1.359,34.126999,28.450001,0.185366,153480.14738409416
-69.397,359.96686,PS71/178,99.9,-1.3605,34.09,,,
-69.397,359.96686,PS71/178,100.0,-1.348,34.110001,,,
-69.397,359.96686,PS71/178,100.2,-1.362,34.09,,,
-69.397,359.96686,PS71/178,100.3,-1.361,34.09,,,
